song_id,song_name,song_duration,song_url,song_popularity,song_added
1mDGDb2fUmUMdqV3tb8VKQ,Now Or Never,214801,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ,0,2017-05-17 06:02:52+00:00
6VRghJeP6I0w1KxkdWFfIh,Believer,203782,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh,0,2017-05-17 06:02:52+00:00
152lZdxL1OR0ZMW6KquMif,Location,219080,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,80,2017-05-17 06:02:52+00:00
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),251088,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,79,2017-05-17 06:02:52+00:00
72jbDTw1piOOj770jWNeaG,Paris,221506,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,78,2017-05-17 06:02:52+00:00
78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,222040,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,45,2017-05-17 06:02:52+00:00
3FDrI0FLKzrYQiWxPhqV2W,Rollin (feat. Future & Khalid),272666,https://open.spotify.com/track/3FDrI0FLKzrYQiWxPhqV2W,63,2017-05-17 06:02:52+00:00
3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",245200,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,0,2017-05-17 06:02:52+00:00
5NNlUMcOEOdoOIwwaWXv0k,Cold,234308,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k,0,2017-05-17 06:02:52+00:00
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,213400,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,87,2017-05-17 06:02:52+00:00
5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,269186,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,78,2017-05-17 06:02:52+00:00
3umS4y3uQDkqekNjVpiRUs,El Amante,219506,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,73,2017-05-17 06:02:52+00:00
4WrS6vezaPwOafKJmHqMEU,You Don't Know Me - Radio Edit,211935,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU,0,2017-05-17 06:02:52+00:00
167NczpNbRF7oWakJaY3Hh,Slow Hands,188174,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh,0,2017-05-17 06:02:52+00:00
6HUnnBwYZqcED1eQztxMBN,Solo Dance,174933,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,0,2017-05-17 06:02:52+00:00
14oOKFGuXu8DqvOe1W8vao,Bon Appétit,227292,https://open.spotify.com/track/14oOKFGuXu8DqvOe1W8vao,0,2017-05-17 06:02:52+00:00
2cnKEkpVUSV4wnjQiTWfH6,Escápate Conmigo,232786,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,0,2017-05-17 06:02:52+00:00
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,211466,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,89,2017-05-17 06:02:52+00:00
2bjwRfXMk4uRgOD9IBYl9h,Portland,236614,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h,74,2017-05-17 06:02:52+00:00
6SwRhMLwNqEi6alNPVG00n,LOYALTY. FEAT. RIHANNA.,227360,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n,80,2017-05-17 06:02:52+00:00
22eADXu8DfOAUEDw4vU8qy,Ahora Dice,271080,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,0,2017-05-17 06:02:52+00:00
6mORGLOz79w6VsCRLWYYuK,The Night We Met,208211,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK,0,2017-05-17 06:02:52+00:00
5c4tB0saSkNHX5CyDosuF7,Tuesday (feat. Danelle Sandoval),241874,https://open.spotify.com/track/5c4tB0saSkNHX5CyDosuF7,0,2017-05-17 06:02:52+00:00
2Vdub5mY4lad7w64bFPUez,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello),194941,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez,56,2017-05-17 06:02:52+00:00
5kRPPEWFJIMox5qIkQkiz5,Sweet Creature,224866,https://open.spotify.com/track/5kRPPEWFJIMox5qIkQkiz5,79,2017-05-17 06:02:52+00:00
7BKLCZ1jbUBVqRi2FVlTVw,Closer,244960,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,88,2017-05-17 06:02:52+00:00
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,261153,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,83,2017-05-17 06:02:52+00:00
4Q3N4Ct4zCuIHuZ65E3BD4,Tunnel Vision,268186,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4,75,2017-05-17 06:02:52+00:00
000xQL6tZNLJzIrtIgxqSl,Still Got Time (feat. PARTYNEXTDOOR),188490,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl,61,2017-05-17 06:02:52+00:00
1EaKU4dMbesXXd3BrLCtYG,ELEMENT.,208733,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG,75,2017-05-17 06:02:52+00:00
2mfUa8bLs2s5N4VaqJZ4lZ,Most Girls,204400,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ,0,2017-05-17 06:02:52+00:00
1WniHvhq9zTkny0WvGXX8o,Chantaje,195612,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o,0,2017-05-17 06:02:52+00:00
6gBFPUFcJLzWGx4lenP6h2,goosebumps,243836,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,88,2017-05-17 06:02:52+00:00
5aAx2yezTd8zXrkmtKl66Z,Starboy,230453,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0,2017-05-17 06:02:52+00:00
2Ce5IyMlVRVvN997ZJjJJA,Selfish (feat. Rihanna),251422,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA,19,2017-05-17 06:02:52+00:00
6qDF4wWL49CAVbgT7yuHl8,Sigo Extrañándote,201280,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8,0,2017-05-17 06:02:52+00:00
0tgVpDi06FyKpA1z0VMD4v,Perfect,263400,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,92,2017-05-17 06:02:52+00:00
4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),343150,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,6,2017-05-17 06:02:52+00:00
