artist_id,artist_name,external_url
0uGk2czvcpWQA383Im6ajf,Maggie Lindemann,https://api.spotify.com/v1/artists/0uGk2czvcpWQA383Im6ajf
0CEK8AzyeD5ZUdUloB6yQV,CADE,https://api.spotify.com/v1/artists/0CEK8AzyeD5ZUdUloB6yQV
5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean,https://api.spotify.com/v1/artists/5H1nN1SzW0qNeUEZvuXjAj
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms
4qBgvVog0wzW75IQ48mU7v,KYLE,https://api.spotify.com/v1/artists/4qBgvVog0wzW75IQ48mU7v
6icQOAFXDZKsumw3YXyusw,Lil Yachty,https://api.spotify.com/v1/artists/6icQOAFXDZKsumw3YXyusw
02kJSzxNuaWGqwubyUba0Z,G-Eazy,https://api.spotify.com/v1/artists/02kJSzxNuaWGqwubyUba0Z
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,https://api.spotify.com/v1/artists/0cGUm45nv7Z6M6qdXYQGTX
26VFTg2z8YR0cCuwLzESi2,Halsey,https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2
3Isy6kedDrgPYoTS1dazA9,Sean Paul,https://api.spotify.com/v1/artists/3Isy6kedDrgPYoTS1dazA9
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,https://api.spotify.com/v1/artists/1zNqDE7qDGCsyzJwohVaoX
02A3cEvlLLCbIMVDrK2GHV,Starley,https://api.spotify.com/v1/artists/02A3cEvlLLCbIMVDrK2GHV
33JQK4UoS2aMPYBfdB5Ftt,Ryan Riback,https://api.spotify.com/v1/artists/33JQK4UoS2aMPYBfdB5Ftt
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,https://api.spotify.com/v1/artists/5ZsFI1h6hIdQRw2ti0hz81
06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02
04gDigrS5kc9YWfZHwBETP,Maroon 5,https://api.spotify.com/v1/artists/04gDigrS5kc9YWfZHwBETP
3qBKjEOanahMxlRojwCzhI,Zacari,https://api.spotify.com/v1/artists/3qBKjEOanahMxlRojwCzhI
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,https://api.spotify.com/v1/artists/1SupJlEpv7RS2tPNRaHViT
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,https://api.spotify.com/v1/artists/4Q6nIcaBED8qUel8bBx6Cr
5KKpBU5eC2tJDzf0wmlRp2,RAYE,https://api.spotify.com/v1/artists/5KKpBU5eC2tJDzf0wmlRp2
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,https://api.spotify.com/v1/artists/1Hsdzj7Dlq2I7tHP7501T4
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,https://api.spotify.com/v1/artists/4ehtJnVumNf6xzSCDk8aLB
6jJ0s89eD6GaHleKKya26X,Katy Perry,https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X
3E6xrwgnVfYCrCs0ePERDz,Wisin,https://api.spotify.com/v1/artists/3E6xrwgnVfYCrCs0ePERDz
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,https://api.spotify.com/v1/artists/1i8SpTcr7yvPOmcqrbnVXY
4IWBUUAFIplrNtaOHcJPRM,James Arthur,https://api.spotify.com/v1/artists/4IWBUUAFIplrNtaOHcJPRM
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H
0qTZZWLzuD59Un5r1speHm,Chris Jedi,https://api.spotify.com/v1/artists/0qTZZWLzuD59Un5r1speHm
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,https://api.spotify.com/v1/artists/1vyhD5VmyZ7KMfW5gqLgo5
4SsVbpTthjScTS7U2hmr1X,Arcángel,https://api.spotify.com/v1/artists/4SsVbpTthjScTS7U2hmr1X
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,https://api.spotify.com/v1/artists/6ltzsmQQbmdoHHbLZ4ZN25
4ON1ruy5ijE7ZPQthbrkgI,Burak Yeter,https://api.spotify.com/v1/artists/4ON1ruy5ijE7ZPQthbrkgI
7Dz9goFmVZZqvJxZoKg7pF,Danelle Sandoval,https://api.spotify.com/v1/artists/7Dz9goFmVZZqvJxZoKg7pF
